timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1789683499201,812,Login,200,OK,Thread Group 1-45,text,true,,771,327,203,203,https://restful-booker.herokuapp.com/auth,812,0,652
1789683499199,818,Login,200,OK,Thread Group 1-74,text,true,,770,325,202,202,https://restful-booker.herokuapp.com/auth,818,0,663
1789683499437,580,Login,200,OK,Thread Group 1-86,text,true,,770,325,202,202,https://restful-booker.herokuapp.com/auth,580,0,426
1789683499062,955,Login,200,OK,Thread Group 1-32,text,true,,770,325,202,202,https://restful-booker.herokuapp.com/auth,955,0,801
1789683499441,589,Login,200,OK,Thread Group 1-80,text,true,,771,327,203,203,https://restful-booker.herokuapp.com/auth,589,0,430
1789683499316,727,Login,200,OK,Thread Group 1-71,text,true,,770,325,206,206,https://restful-booker.herokuapp.com/auth,727,0,593
1789683499510,554,Login,200,OK,Thread Group 1-114,text,true,,770,325,209,209,https://restful-booker.herokuapp.com/auth,554,0,418
1789683499298,788,Login,200,OK,Thread Group 1-85,text,true,,771,327,214,214,https://restful-booker.herokuapp.com/auth,788,0,634
1789683499506,583,Login,200,OK,Thread Group 1-110,text,true,,771,327,213,213,https://restful-booker.herokuapp.com/auth,583,0,449
1789683499284,806,Login,200,OK,Thread Group 1-66,text,true,,770,325,213,213,https://restful-booker.herokuapp.com/auth,806,0,650
1789683499308,783,Login,200,OK,Thread Group 1-58,text,true,,770,325,214,214,https://restful-booker.herokuapp.com/auth,783,0,649
1789683499555,537,Login,200,OK,Thread Group 1-116,text,true,,770,325,214,214,https://restful-booker.herokuapp.com/auth,537,0,406
1789683499479,614,Login,200,OK,Thread Group 1-101,text,true,,770,325,214,214,https://restful-booker.herokuapp.com/auth,614,0,470
1789683499282,816,Login,200,OK,Thread Group 1-69,text,true,,770,325,215,215,https://restful-booker.herokuapp.com/auth,816,0,679
1789683499510,597,Login,200,OK,Thread Group 1-97,text,true,,770,325,215,215,https://restful-booker.herokuapp.com/auth,597,0,464
1789683499575,542,Login,200,OK,Thread Group 1-123,text,true,,770,325,217,217,https://restful-booker.herokuapp.com/auth,542,0,407
1789683499507,610,Login,200,OK,Thread Group 1-103,text,true,,770,325,217,217,https://restful-booker.herokuapp.com/auth,610,0,464
1789683499083,1034,Login,200,OK,Thread Group 1-59,text,true,,770,325,217,217,https://restful-booker.herokuapp.com/auth,1034,0,886
1789683499472,645,Login,200,OK,Thread Group 1-79,text,true,,770,325,217,217,https://restful-booker.herokuapp.com/auth,645,0,489
1789683499586,532,Login,200,OK,Thread Group 1-76,text,true,,770,325,217,217,https://restful-booker.herokuapp.com/auth,532,0,400
1789683499569,549,Login,200,OK,Thread Group 1-138,text,true,,770,325,217,217,https://restful-booker.herokuapp.com/auth,549,0,411
1789683499537,580,Login,200,OK,Thread Group 1-95,text,true,,771,327,217,217,https://restful-booker.herokuapp.com/auth,580,0,439
1789683499362,761,Login,200,OK,Thread Group 1-75,text,true,,771,327,215,215,https://restful-booker.herokuapp.com/auth,761,0,628
1789683499567,573,Login,200,OK,Thread Group 1-93,text,true,,770,325,217,217,https://restful-booker.herokuapp.com/auth,573,0,438
1789683499537,609,Login,200,OK,Thread Group 1-127,text,true,,770,325,218,218,https://restful-booker.herokuapp.com/auth,609,0,470
1789683499606,542,Login,200,OK,Thread Group 1-113,text,true,,770,325,219,219,https://restful-booker.herokuapp.com/auth,542,0,409
1789683499598,573,Login,200,OK,Thread Group 1-108,text,true,,770,325,222,222,https://restful-booker.herokuapp.com/auth,573,0,434
1789683499598,577,Login,200,OK,Thread Group 1-111,text,true,,770,325,223,223,https://restful-booker.herokuapp.com/auth,577,0,434
1789683499599,592,Login,200,OK,Thread Group 1-115,text,true,,771,327,226,226,https://restful-booker.herokuapp.com/auth,592,0,446
1789683499697,542,Login,200,OK,Thread Group 1-124,text,true,,770,325,234,234,https://restful-booker.herokuapp.com/auth,542,0,406
1789683499715,549,Login,200,OK,Thread Group 1-106,text,true,,770,325,238,238,https://restful-booker.herokuapp.com/auth,549,0,415
1789683500127,138,CreateBooking,200,OK,Thread Group 1-61,text,true,,943,520,238,238,https://restful-booker.herokuapp.com/booking,138,0,0
1789683499732,536,Login,200,OK,Thread Group 1-133,text,true,,770,325,239,239,https://restful-booker.herokuapp.com/auth,536,0,405
1789683500137,134,CreateBooking,200,OK,Thread Group 1-63,text,true,,944,521,239,239,https://restful-booker.herokuapp.com/booking,134,0,0
1789683499616,664,Login,200,OK,Thread Group 1-117,text,true,,770,325,241,241,https://restful-booker.herokuapp.com/auth,664,0,515
1789683499710,572,Login,200,OK,Thread Group 1-150,text,true,,771,327,241,241,https://restful-booker.herokuapp.com/auth,572,0,428
1789683499749,552,Login,200,OK,Thread Group 1-139,text,true,,770,325,244,244,https://restful-booker.herokuapp.com/auth,552,0,417
1789683499726,577,Login,200,OK,Thread Group 1-128,text,true,,770,325,245,245,https://restful-booker.herokuapp.com/auth,577,0,429
1789683499767,541,Login,200,OK,Thread Group 1-119,text,true,,770,325,245,245,https://restful-booker.herokuapp.com/auth,541,0,407
